Threshold,Flaggade,TP,FP,FN,TN,Precision,Recall,F1
0.1,1952,227,1725,18,430,0.116,0.927,0.207
0.15,1566,214,1352,31,803,0.137,0.873,0.236
0.2,1152,198,954,47,1201,0.172,0.808,0.283
0.25,835,169,666,76,1489,0.202,0.69,0.313
0.3,581,135,446,110,1709,0.232,0.551,0.327
0.35,424,115,309,130,1846,0.271,0.469,0.344
0.4,315,89,226,156,1929,0.283,0.363,0.318
0.45,242,75,167,170,1988,0.31,0.306,0.308
0.5,167,57,110,188,2045,0.341,0.233,0.277
0.55,116,43,73,202,2082,0.371,0.176,0.238
0.6,75,32,43,213,2112,0.427,0.131,0.2
0.65,47,20,27,225,2128,0.426,0.082,0.137
0.7,26,14,12,231,2143,0.538,0.057,0.103
0.75,15,7,8,238,2147,0.467,0.029,0.054
0.8,8,5,3,240,2152,0.625,0.02,0.04
0.85,5,2,3,243,2152,0.4,0.008,0.016
0.9,1,0,1,245,2154,0.0,0.0,0.0
